id,n_crop,n_disease,n_medicine
38-3,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
39-1,[],[],"['碧护', '磷酸二氢钾']"
39-2,[],[],"['氨基酸', '十芸苔素', '碧护']"
39-3,[],[],"['碧护', '磷酸二氢钾']"
40-1,[],['疫病危害'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
40-2,[],"['脐腐病', '缺钙']","['氨基酸', '螯合钙']"
40-3,[],['疫病危害'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
41-1,[],['疫病危害'],['克露']
41-2,[],['疫病'],"['双炔酰菌胺', '锰锌', '杀毒矾', '杀毒矾', '恶霜灵', '代森锰锌', '克露', '霜脲锰锌']"
41-3,[],['疫病危害'],['克露']
42-1,[],['用药不当'],['碧护']
42-2,[],['肥害'],['微生物菌剂']
42-3,[],['肥害'],['微生物菌剂']
43-1,[],[],['黄腐酸']
43-2,[],"['土壤板结', '根系吸收障碍']","['水溶肥', '生物菌肥', '海藻酸', '磷酸二氢钾', '碧护']"
43-3,[],[],['黄腐酸']
44-1,[],"['脐腐病', '缺钙']","['氨基酸', '糖醇钙', '碧护', '磷酸二氢钾']"
45-1,[],['白粉病'],[]
45-2,"['辣椒', '辣椒', '辣椒', '辣椒']","['霜霉病', '白粉病', '霜霉病', '病斑', '白粉病', '霜霉病', '病斑']",[]
46-1,[],"['脐腐病', '缺钙']",['螯合钙']
46-2,[],"['脐腐病', '缺钙', '生理性病害', '脐腐病']",[]
47-1,[],"['根腐病', '枯草芽孢杆菌']","['恶霉灵', '甲基立枯磷', '生根剂', '恶霉灵', '甲霜灵']"
47-2,[],"['根腐病', '枯草芽孢杆菌']","['霜霉威', '王铜', '甲霜灵', '恶霉灵', '酸钠', '恶霉灵', '恶霉灵', '生根剂']"
48-2,[],[],"['水溶肥', '氨基酸']"
49-1,[],"['炭疽病', '氟菌']","['肟菌酯', '苯醚甲环唑', '吡唑醚菌酯', '肟菌戊唑醇', '咪鲜胺', '啶氧菌酯', '咪鲜胺', '丙森锌', '咪鲜胺', '异菌脲', '吡唑醚菌酯', '氨基酸叶面肥']"
49-2,[],['炭疽病'],"['苯醚甲环唑', '吡唑醚菌酯', '阿砣', '啶氧菌酯', '戊唑醇', '百菌清']"
50-1,[],"['病斑', '气害灼伤']","['碧护', '芸苔素内酯', '磷酸二氢钾', '氨基酸叶面肥', '黄腐酸', '叶面肥']"
50-2,[],['用药不当'],['碧护']
51-1,[],['用药不当'],['碧护']
51-2,[],[],"['氨基酸', '水溶肥', '恶霉灵']"
52-1,[],['晚疫病'],"['双炔酰菌胺', '锰锌', '杀毒矾', '杀毒矾', '恶霜灵', '代森锰锌', '克露', '霜脲锰锌']"
52-2,[],"['灰霉病', '菌核病']","['腐霉利', '异菌脲', '啶酰菌胺', '嘧菌环胺', '嘧霉胺']"
53-1,[],['疫病'],"['锰锌', '烯酰吗啉', '锰锌', '乙铝', '霜霉威盐酸盐', '氰霜唑', '氟吗啉', '锰锌', '磷酸二氢钾']"
53-2,[],['疫病危害'],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
54-2,[],[],"['生物菌肥', '芸苔素内酯']"
56-1,[],['螨虫'],"['四螨嗪', '阿维哒螨灵', '螺螨酯', '联苯肼酯', '乙螨唑']"
56-2,[],[],"['阿维哒螨灵', '虫螨酯', '乙螨唑', '酰胺', '溴螨酯', '联苯肼酯']"
57-1,[],['用药不当'],['碧护']
57-2,[],['霜霉病'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
58-1,[],['枯草芽孢杆菌'],"['碧护', '磷酸二氢钾']"
59-1,[],['根系发育不良'],"['微生物菌剂', '甲壳素']"
59-2,[],"['根系发育不良导致', '枯草芽孢杆菌']","['碧护', '磷酸二氢钾']"
59-3,[],['根系发育不良'],"['微生物菌剂', '甲壳素']"
60-1,[],"['茎基腐病', '枯草芽孢杆菌']","['霜霉威', '王铜', '甲霜灵', '恶霉灵', '酸钠', '恶霉灵', '恶霉灵', '生根剂']"
60-2,[],"['根腐病', '枯草芽孢杆菌']",['恶霉灵']
60-3,[],"['茎基腐病', '枯草芽孢杆菌']","['霜霉威', '王铜', '甲霜灵', '恶霉灵', '酸钠', '恶霉灵', '恶霉灵', '生根剂']"
61-1,[],"['畸形果', '缺硼', '畸形果', '激素过量', '畸形果', '少量畸形果']",['钾肥']
61-2,[],"['畸形果', '氮肥过量', '缺硼']","['钾肥', '钙元素', '钾肥', '碧护', '速乐硼', '鳌合钙']"
61-3,[],"['畸形果', '缺硼', '畸形果', '激素过量', '畸形果', '少量畸形果']",['钾肥']
62-1,[],['施药不当'],['微生物菌剂']
62-2,[],"['根系发育不良导致', '枯草芽孢杆菌']","['碧护', '磷酸二氢钾']"
62-3,[],['施药不当'],['微生物菌剂']
63-1,[],[],['黄腐酸']
63-2,[],[],"['氨基酸', '水溶肥']"
63-3,[],[],['黄腐酸']
64-1,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
64-2,[],['用药不当'],"['氨基酸', '磷酸二氢钾', '碧护', '芸苔素内酯']"
64-3,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
65-1,[],"['根系不好', '枯草芽孢杆菌']",['腐植酸']
65-2,[],['枯草芽孢杆菌'],"['腐植酸', '碧护', '磷酸二氢钾']"
66-1,[],['蚧壳虫'],[]
66-2,[],['蚜虫'],"['烯啶虫胺', '联苯菊酯', '噻虫嗪', '乙基多杀菌素']"
67-1,[],['炭疽病'],"['苯醚甲环唑', '溴菌腈', '咪鲜胺', '啶氧菌酯']"
67-2,[],['真菌性病害'],"['苯醚甲环唑', '吡唑醚菌酯']"
67-3,[],['炭疽病'],"['苯醚甲环唑', '溴菌腈', '咪鲜胺', '啶氧菌酯']"
68-1,[],"['病毒病', '钝化病毒']","['氨基寡糖素', '盐酸吗啉胍', '宁南霉素', '松脂酸铜', '烯啶吡蚜酮']"
68-3,[],"['病毒病', '钝化病毒']","['氨基寡糖素', '盐酸吗啉胍', '宁南霉素', '松脂酸铜', '烯啶吡蚜酮']"
69-1,[],"['茎基腐病', '枯草芽孢杆菌']","['霜霉威', '王铜', '甲霜灵', '恶霉灵', '酸钠', '恶霉灵', '恶霉灵', '生根剂']"
69-2,[],"['茎基腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵']"
69-3,[],"['茎基腐病', '枯草芽孢杆菌']","['霜霉威', '王铜', '甲霜灵', '恶霉灵', '酸钠', '恶霉灵', '恶霉灵', '生根剂']"
70-2,[],[],"['氨基酸', '海藻酸', '叶面肥']"
70-3,[],[],"['氨基酸', '海藻酸', '叶面肥']"
71-1,[],[],"['碧护', '速乐硼', '螯合钙']"
71-2,[],[],['芸苔素内酯']
71-3,[],[],"['碧护', '速乐硼', '螯合钙']"
72-1,[],"['脐腐病', '缺钙', '缺硼']","['偏施氮肥', '螯合钙', '速乐硼', '碧护']"
72-2,[],"['脐腐病', '缺钙']",['螯合钙']
72-3,[],"['脐腐病', '缺钙', '缺硼']","['偏施氮肥', '螯合钙', '速乐硼', '碧护']"
73-1,[],['肥害'],[]
73-2,[],['高温气害'],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
73-3,[],['高温气害'],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
74-1,[],['疫病'],"['双炔酰菌胺', '锰锌', '杀毒矾', '杀毒矾', '恶霜灵', '代森锰锌', '克露', '霜脲锰锌']"
74-2,[],['疫病'],"['烯酰吗啉', '锰锌', '吡唑醚菌酯', '锰锌', '烯酰', '锰锌', '氰霜唑']"
74-3,[],['疫病'],"['双炔酰菌胺', '锰锌', '杀毒矾', '杀毒矾', '恶霜灵', '代森锰锌', '克露', '霜脲锰锌']"
75-1,[],['施药不当'],['微生物菌剂']
75-2,[],['用药不当'],"['碧护', '芸苔素内酯']"
75-3,[],['施药不当'],['微生物菌剂']
76-1,[],"['疮痂病', '炭疽病']","['苯醚甲环唑', '塞菌铜']"
76-2,[],['炭疽病'],"['苯醚甲环唑', '溴菌腈', '咪鲜胺', '啶氧菌酯']"
76-3,[],"['疮痂病', '炭疽病']","['苯醚甲环唑', '塞菌铜']"
77-1,[],['肥害'],['磷酸二氢钾']
77-2,[],[],"['碧护', '芸苔素内酯', '氨基酸']"
77-3,[],[],"['碧护', '芸苔素内酯', '氨基酸']"
78-1,[],['霜霉病'],['克露']
78-2,[],['霜霉病'],"['烯酰吗啉', '锰锌', '吡唑醚菌酯', '锰锌', '烯酰', '锰锌', '氰霜唑']"
78-3,[],['霜霉病'],['克露']
79-1,[],['病毒病'],"['碧护', '磷酸二氢钾', '烯啶吡蚜酮']"
79-2,[],['用药不当'],"['碧护', '芸苔素内酯']"
79-3,[],['病毒病'],"['碧护', '磷酸二氢钾', '烯啶吡蚜酮']"
80-1,[],['用药不当'],"['碧护', '芸苔素内酯']"
80-2,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
80-3,[],['用药不当'],"['碧护', '芸苔素内酯']"
81-1,[],['施药不当'],['微生物菌剂']
81-2,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
81-3,[],['施药不当'],['微生物菌剂']
82-1,[],['紫斑病'],"['生物菌肥', '芸苔素内酯']"
82-2,[],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
82-3,[],['紫斑病'],"['生物菌肥', '芸苔素内酯']"
83-1,[],[],"['高效氯氟氰菊酯', '噻虫嗪', '联苯菊酯', '联苯菊酯', '噻虫嗪', '联苯菊酯']"
83-2,[],[],"['烯啶虫胺', '联苯菊酯', '噻虫嗪', '高效氯氟氰菊酯', '螺虫乙酯']"
83-3,[],[],"['高效氯氟氰菊酯', '噻虫嗪', '联苯菊酯', '联苯菊酯', '噻虫嗪', '联苯菊酯']"
84-1,[],"['根腐病', '枯草芽孢杆菌']","['甲霜灵', '恶霉灵', '络氨铜', '氨基酸']"
84-2,[],"['茎基腐病', '枯草芽孢杆菌']","['甲霜恶霉灵', '溴菌腈', '络氨铜', '霜霉威盐酸盐']"
84-3,[],"['根腐病', '枯草芽孢杆菌']","['甲霜灵', '恶霉灵', '络氨铜', '氨基酸']"
85-1,[],['霜霉病'],"['啶氧菌酯', '霜脲氰', '代森联', '王铜', '甲霜灵', '烯酰', '嘧菌酯', '烯酰', '丙森锌']"
85-2,[],['霜霉病'],['克露']
85-3,[],['霜霉病'],"['啶氧菌酯', '霜脲氰', '代森联', '王铜', '甲霜灵', '烯酰', '嘧菌酯', '烯酰', '丙森锌']"
86-1,[],['脐腐病'],"['钾肥', '糖醇钙', '氨基酸']"
86-2,[],"['脐腐病', '缺钙', '生理性病害', '脐腐病']",[]
86-3,[],['脐腐病'],"['钾肥', '糖醇钙', '氨基酸']"
87-1,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
87-2,[],['细菌性病害'],"['乙蒜素', '叶枯唑', '生菌素', '氯溴异氰尿酸', '春雷王铜', '春雷霉素', '可杀得', '春雷霉素', '喹啉铜']"
87-3,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
88-1,[],['霜霉病'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
88-2,[],['霜霉病'],"['杀毒矾', '烯酰吗啉', '霜霉威盐酸盐', '霜脲', '烯酰', '锰锌']"
88-3,[],['霜霉病'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
89-1,['辣椒'],['疫病'],"['烯酰', '代森联', '代森联', '霜脲氰', '霜霉威', '烯酰', '嘧菌酯', '霜脲氰']"
89-2,[],['病毒病'],"['宁南霉素', '氨基寡糖素']"
89-3,['辣椒'],['疫病'],"['烯酰', '代森联', '代森联', '霜脲氰', '霜霉威', '烯酰', '嘧菌酯', '霜脲氰']"
90-1,[],['霜霉病'],"['杀毒矾', '烯酰吗啉', '霜霉威盐酸盐', '霜脲', '烯酰', '锰锌']"
90-2,[],['霜霉病'],"['烯酰吗啉', '霜霉威']"
90-3,[],['霜霉病'],"['杀毒矾', '烯酰吗啉', '霜霉威盐酸盐', '霜脲', '烯酰', '锰锌']"
91-1,[],['缺硼'],[]
91-2,[],"['畸形果', '缺硼', '畸形果', '激素过量', '畸形果', '少量畸形果']",['钾肥']
91-3,[],['缺硼'],[]
92-1,[],['用药不当'],"['氨基酸', '海藻酸', '叶面肥']"
92-2,[],['用药不当'],"['氨基酸', '磷酸二氢钾', '碧护', '芸苔素内酯']"
92-3,[],['用药不当'],"['氨基酸', '海藻酸', '叶面肥']"
93-1,[],[],['氨基酸']
93-2,[],[],"['碧护', '氨基酸']"
93-3,[],[],['氨基酸']
94-1,[],['霜霉病'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
94-2,[],['霜霉病'],"['烯酰吗啉', '霜霉威']"
94-3,[],['霜霉病'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
96-1,[],['用药不当'],"['碧护', '芸苔素内酯']"
96-2,[],['肥害'],['微生物菌剂']
96-3,[],['用药不当'],"['碧护', '芸苔素内酯']"
97-1,[],[],"['氯虫苯甲酰胺', '虫酰肼', '氟虫双酰胺', '茚虫威', '酰胺']"
97-2,[],"['夜蛾类', '害虫危害']","['茚虫威', '苏云金', '氟啶脲']"
97-3,[],[],"['氯虫苯甲酰胺', '虫酰肼', '氟虫双酰胺', '茚虫威', '酰胺']"
98-1,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
98-2,[],"['疫病', '高温气害']",[]
98-3,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
99-1,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
99-2,[],['用药不当'],"['碧护', '芸苔素内酯', '氨基酸叶面肥', '黄腐酸', '叶面肥', '磷酸二氢钾']"
99-3,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
100-1,[],['用药不当'],['碧护']
100-2,[],['用药不当'],"['磷酸二氢钾', '氨基酸叶面肥', '碧护']"
100-3,[],['用药不当'],"['磷酸二氢钾', '氨基酸叶面肥', '碧护']"
101-1,[],[],"['碧护', '芸苔素']"
101-2,[],"['根系发育不良', '枯草芽孢杆菌']",[]
101-3,[],[],"['碧护', '芸苔素']"
102-1,[],"['根系不好', '枯草芽孢杆菌']",[]
102-2,[],"['根系发育不良', '枯草芽孢杆菌']",[]
102-3,[],"['根系发育不良', '枯草芽孢杆菌']",[]
103-1,[],[],"['杜邦', '高效氯氰菊酯']"
104-1,[],[],"['生物菌肥', '芸苔素内酯']"
104-2,[],['土壤盐渍化'],['微生物菌剂']
105-1,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
105-2,[],['缺硼'],"['氮肥', '氮肥', '调环酸钙', '', '碧护', '速乐硼', '鳌合钙']"
106-1,[],"['夜蛾类', '害虫危害']","['阿维菌素', '氯虫苯甲酰胺', '酰胺', '酰胺', '有机硅']"
106-2,[],[],['高效氯氰菊酯']
107-1,[],"['根腐病', '枯草芽孢杆菌']",['甲霜恶霉灵']
107-2,[],"['根腐病', '枯草芽孢杆菌']","['甲霜灵', '恶霉灵', '络氨铜', '氨基酸']"
108-1,['辣椒'],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
108-2,[],"['脐腐病', '缺钙', '缺硼']","['偏施氮肥', '螯合钙', '速乐硼', '碧护']"
109-1,[],"['根腐病', '枯草芽孢杆菌']","['霜霉威', '王铜', '甲霜灵', '恶霉灵', '酸钠', '恶霉灵', '恶霉灵', '生根剂']"
109-2,[],"['根腐病', '枯草芽孢杆菌']",['恶霉灵']
110-1,[],"['土壤板结', '枯草芽孢杆菌']","['腐植酸', '碧护']"
110-2,[],"['根系发育不良导致', '枯草芽孢杆菌']","['碧护', '磷酸二氢钾']"
111-1,[],[],"['生物菌肥', '农家肥']"
111-2,[],[],"['机肥', '生物菌肥']"
112-1,[],[],['微生物菌剂']
112-2,[],['用药不当'],"['氨基酸', '磷酸二氢钾', '碧护', '芸苔素内酯']"
113-1,[],['肥害'],['微生物菌剂']
113-2,[],['脐腐病'],['螯合钙']
114-1,[],"['脐腐病', '缺钙']","['氨基酸', '糖醇钙', '碧护', '磷酸二氢钾']"
114-2,[],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
115-1,[],"['疫霉', '根腐病']","['甲霜恶霉灵', '霜霉威']"
115-2,[],"['茎基腐病', '枯草芽孢杆菌']","['王铜', '甲霜灵', '恶霉灵', '精甲霜灵', '咯菌腈', '福美双']"
116-1,['辣椒'],[],[]
117-1,[],['供应不足'],['调环酸钙']
117-3,[],['供应不足'],['调环酸钙']
118-1,[],['蚜虫'],[]
118-2,[],['蚜虫'],"['联苯菊酯', '烯啶虫胺', '噻虫嗪']"
118-3,[],['蚜虫'],[]
119-1,[],['疫病危害'],['克露']
119-2,[],['疫病'],"['杀菌剂', '湿性粉剂', '代森锰锌', '湿性粉剂', '普力克', '雷多米尔', '湿性粉剂', '霜疫清', '湿性粉剂', '百菌清', '湿性粉剂', '甲霜灵', '湿性粉剂', '克露', '湿性粉剂', '肟菌酯', '锰锌', '湿性粉剂']"
119-3,[],['疫病危害'],['克露']
120-2,[],['枯草芽孢杆菌'],"['碧护', '氨基酸']"
120-3,[],['枯草芽孢杆菌'],"['碧护', '氨基酸']"
121-1,[],[],"['细菌性', '喹啉铜', '多抗霉素', '琥胶肥酸铜', '春雷霉素', '生菌素']"
121-2,[],['细菌性叶斑病'],"['琥胶肥', '氢氧化铜', '络氨铜', '王铜', '噻菌铜', '化亚铜']"
121-3,[],[],"['细菌性', '喹啉铜', '多抗霉素', '琥胶肥酸铜', '春雷霉素', '生菌素']"
122-1,[],[],[]
122-2,[],[],['磷酸二氢钾']
122-3,[],[],[]
123-1,[],['蓟马'],"['烯啶虫胺', '联苯菊酯', '噻虫嗪', '乙基多杀菌素']"
123-2,[],['蓟马'],"['螺虫乙酯', '吡虫啉', '联苯菊酯', '噻虫嗪']"
123-3,[],['蓟马'],"['烯啶虫胺', '联苯菊酯', '噻虫嗪', '乙基多杀菌素']"
124-1,[],['炭疽病'],"['阿砣', '苯醚甲环唑', '咪鲜胺锰盐', '腐霉利', '氟硅唑', '啶氧菌酯', '苯甲溴菌腈', '吡唑嘧菌酯']"
124-2,[],['炭疽病'],"['肟菌戊唑醇', '氟硅唑', '苯甲丙环唑']"
124-3,[],['炭疽病'],"['阿砣', '苯醚甲环唑', '咪鲜胺锰盐', '腐霉利', '氟硅唑', '啶氧菌酯', '苯甲溴菌腈', '吡唑嘧菌酯']"
125-1,[],[],"['生物菌肥', '芸苔素内酯']"
125-2,[],"['根系发育不良导致', '枯草芽孢杆菌']","['碧护', '磷酸二氢钾']"
125-3,[],[],"['生物菌肥', '芸苔素内酯']"
126-1,[],['白星病'],"['肟菌戊唑醇', '氟硅唑', '苯甲丙环唑']"
126-2,[],"['炭疽病', '辣椒白星病']","['吡唑醚菌酯', '丙环唑', '络氨铜', '可杀得', '代森锌']"
126-3,[],['白星病'],"['肟菌戊唑醇', '氟硅唑', '苯甲丙环唑']"
127-1,[],['高温灼伤'],['微生物菌剂']
127-2,[],[],"['生物菌肥', '芸苔素内酯']"
127-3,[],['高温灼伤'],['微生物菌剂']
128-1,[],['高温灼伤'],['微生物菌剂']
